Year,"Life expectancy at birth, total (years)"
1960,71.133
1961,71.346
1962,71.367
1963,71.381
1964,71.776
1965,71.872
1966,72.004
1967,72.208
1968,72.353
1969,72.501
1970,72.700
1971,73.029
1972,72.934
1973,73.163
1974,73.238
1975,73.522
1976,73.856
1977,74.216
1978,74.530
1979,74.866
1980,75.078
1981,75.479
1982,75.680
1983,76.036
1984,76.318
1985,76.303
1986,76.440
1987,76.740
1988,76.809
1989,77.066
1990,77.377
1991,77.553
1992,77.321
1993,77.685
1994,77.862
1995,77.978
1996,78.230
1997,78.480
1998,78.662
1999,78.883
2000,79.237
2001,79.488
2002,79.590
2003,79.839
2004,80.141
2005,80.293
2006,80.644
2007,80.370
2008,80.543
2009,80.717
2010,80.893
2011,81.068
2012,81.238
2013,81.401
2014,
2015,
