Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,2676.91,2493.56,1426.463,1375.125,1320.12,1268.782,1199.109,1114.768,1056.096,832.409,781.071,645.392,894.748,1037.761,957.087,1338.455,1657.484,2280.874,4217.05,6776.616,8470.77,12251.447
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,7488.014,3971.361,2387.217,2343.213,1928.842,2086.523,2016.85,1543.807,1752.826,2984.938,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3865.018,4477.407,4657.09,4488.408,4415.068,4668.091
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,78924.841,81220.383,81935.448,82294.814,86500.863,95345.667,97131.496,88195.017,107080.067,92118.707,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,100919.507,109294.935,111575.809,121374.033,119276.509,121755.401
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,ADO,..,..,..,..,..,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049,517.047,517.047,491.378
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,4429.736,4367.397,4418.735,5801.194,3890.687,11012.001,10491.287,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,27172.47,29361.669,29743.037,29710.034
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,300.694,289.693,289.693,304.361,311.695,322.696,322.696,337.364,333.697,348.365,344.698,344.698,363.033,388.702,407.037,410.704,425.372,469.376,480.377,509.713,524.381,513.38
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,112613.57,117021.304,121447.373,118609.115,123350.546,122547.473,129217.746,134677.909,137673.848,145488.225,141076.824,132631.723,123266.205,133126.768,156170.196,160951.964,174237.505,179738.005,191578.748,180654.755,179000.938,190034.941
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,..,..,4052.035,2896.93,2966.603,3490.984,2607.237,3278.298,3406.643,3058.278,3465.315,3542.322,3043.61,3428.645,3644.998,4352.729,4382.065,5064.127,5559.172,4360.063,4217.05,4961.451
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,1840.834,1928.842,1723.49,1771.161,1763.827,1782.162,1800.497,1837.167,1712.489,1749.159,2321.211,2357.881,2372.549,2416.553,2420.22,2497.227,2497.227,2592.569,2508.228,2522.896,2456.89,2438.555
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,263847.984,261574.444,268068.701,277478.223,278204.289,281940.962,302241.474,305838.801,316964.479,325380.244,329479.95,324877.865,341390.366,336355.575,342776.492,350268.173,357946.871,363795.736,376197.53,382464.433,368170.467,369039.546
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,57722.247,61638.603,56688.153,57135.527,57095.19,59827.105,63226.414,62705.7,63717.792,61917.295,62188.653,65785.98,66977.755,72074.885,72272.903,74278.752,72214.231,69724.338,68752.583,63483.104,67975.179,65202.927
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,..,..,57678.243,49365.154,42672.879,33479.71,31510.531,29809.043,31675.546,28576.931,29508.349,28771.282,29614.692,30615.783,32089.917,34337.788,39167.227,30509.44,35503.894,31902.9,30678.122,33457.708
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,1950.844,1782.162,1793.163,1701.488,1686.82,1683.153,1668.485,1364.124,1679.486,1675.819,1668.485,1569.476,1576.81,1518.138,1723.49,1598.812,1521.805,1547.474,1045.095,1642.816,2464.224,1906.84
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,12665.818,12335.788,11455.708,15702.094,15969.785,16021.123,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17509.925,19207.746,18830.045,22013.001,24011.516,21704.973,23252.447,23439.464
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24048.186,25236.294,27869.2,32456.617,33707.064,33883.08,39750.28,37553.747,48136.709,46886.262,49581.507,52790.132,56152.771,57069.521
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1430.13,1628.148,1624.481,1518.138,1565.809
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,..,..,87487.286,74451.101,65914.325,62118.98,60157.135,59519.077,57597.569,55819.074,53468.527,52595.781,52390.429,53721.55,58037.609,59064.369,61829.287,60281.813,62815.71,60292.814,62221.656,63303.421
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,106049.64,110959.753,111968.178,107652.119,112334.878,112327.544,118059.065,115341.818,118374.427,115085.128,114894.444,114315.058,107098.402,114564.414,110908.415,108297.511,106775.706,103215.049,103882.443,104021.789,109093.25,97765.887
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,311.695,359.366,355.699,377.701,374.034,377.701,308.028,388.702,370.367,601.388,689.396,711.398,366.7,385.035,396.036,414.371,432.706,458.375,451.041,469.376,553.717,550.05
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,715.065,828.742,905.749,1133.103,1265.115,1327.454,1265.115,1217.444,1213.777,1562.142,1598.812,1815.165,2079.189,2354.214,2508.228,2394.551,3872.352,4495.742,4488.408,4752.432,5152.135,4987.12
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,597.721,509.713,407.037,480.377,473.043,465.709,476.71,476.71,462.042,495.045,495.045,495.045,524.381,509.713,671.061,443.707,520.714,517.047,388.702,465.709,476.71,392.369
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,128.345,187.017,216.353,187.017,212.686,249.356,304.361,396.036,385.035,385.035,399.703,388.702,418.038,377.701,308.028,396.036,392.369,392.369,421.705,388.702,487.711,561.051
CO2 emissions (kt),EN.ATM.CO2E.KT,Bolivia,BOL,5526.169,5797.527,6673.94,8063.733,8936.479,9460.86,10014.577,11026.669,11455.708,11243.022,10223.596,9823.893,9567.203,14128.951,13083.856,12068.097,14730.339,12445.798,13556.899,14246.295,15350.062,16120.132
CO2 emissions (kt),EN.ATM.CO2E.KT,Bosnia and Herzegovina,BIH,..,..,4136.376,2948.268,3230.627,3428.645,4257.387,8393.763,10593.963,10377.61,13787.92,13362.548,14301.3,14488.317,15610.419,16204.473,17564.93,17590.599,20087.826,20615.874,21147.589,23747.492
CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,2178.198,2148.862,3274.631,3498.318,3494.651,3523.987,3138.952,3212.292,3832.015,3545.989,4275.722,4334.394,4484.741,4264.721,4378.398,4616.753,4646.089,4701.094,4979.786,4400.4,5232.809,4855.108
