Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,49.8610487804878,50.6409756097561,51.3629268292683,52.0218780487805,52.6143414634146,53.1393902439024,53.6020487804878,54.0178292682927,54.4027317073171,54.7672682926829,55.1258780487805,55.4875365853659,55.8571951219512,56.2352926829268,56.6263170731707,57.027243902439,57.4325609756098,57.8338292682927,58.2250243902439,58.6036829268293,58.9708292682927,59.3279512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,71.9573170731707,71.9184146341463,71.9008048780488,71.9358536585366,72.0419512195122,72.2360243902439,72.5274146341463,72.8980975609756,73.3265853658537,73.7933902439025,74.2715365853659,74.7325609756098,75.1546097560976,75.5232926829268,75.8312195121951,76.0816097560976,76.2861219512195,76.4702926829268,76.6520731707317,76.8403658536586,77.0369512195122,77.2405853658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,66.6945853658537,66.9587317073171,67.2096829268293,67.4754878048781,67.7755365853659,68.1210731707317,68.5092195121951,68.9212195121951,69.3409512195122,69.7629268292683,70.1839024390244,70.601756097561,71.0148536585366,71.421,71.8162682926829,72.1965609756098,72.5577073170732,72.8983658536585,73.2193170731707,73.5210243902439,73.8040487804878,74.07
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,41.1383414634146,41.2063414634146,41.3130243902439,41.4781951219512,41.716243902439,42.0514634146341,42.5016341463415,43.0621219512195,43.7142682926829,44.439,45.2047804878049,45.9731463414634,46.7117317073171,47.3931707317073,48.003512195122,48.5388048780488,49.0070487804878,49.4357317073171,49.8473902439024,50.2510243902439,50.6541707317073,51.0593170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,71.1629512195122,71.4005853658537,71.6347073170732,71.8658536585366,72.093,72.3176829268293,72.5388536585366,72.7575609756098,72.9737804878049,73.1860243902439,73.3972926829268,73.6070975609756,73.8154390243902,74.0217804878049,74.2261463414634,74.4254390243903,74.6181463414634,74.8032195121951,74.9791707317073,75.1470243902439,75.3087804878049,75.4660243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,71.5436585365854,71.7632926829268,71.9889512195122,72.2156585365854,72.4413902439024,72.6651219512195,72.8873414634146,73.1080487804878,73.3276829268293,73.5442682926829,73.7558048780488,73.9603170731707,74.1557804878049,74.3412682926829,74.5187804878049,74.6878048780488,74.8499024390244,75.0090487804878,75.1662682926829,75.3245609756098,75.4849756097561,75.6490487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,67.7478048780488,67.7382926829268,67.8533414634147,68.0695609756098,68.3766585365854,68.7635609756098,69.2168536585366,69.7164146341464,70.2402195121951,70.7670975609756,71.2765853658537,71.7558292682927,72.2016097560976,72.6095853658537,72.973756097561,73.2873902439024,73.5482682926829,73.7646585365854,73.945,74.0958292682927,74.2263414634146,74.3428292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.3899756097561,73.4331219512195,73.471756097561,73.5053170731707,73.535756097561,73.5636097560976,73.5894390243902,73.6148048780488,73.6422926829268,73.6753902439025,73.7206097560976,73.7829024390244,73.865243902439,73.9685609756098,74.0908536585366,74.2280731707317,74.3761951219512,74.526756097561,74.6757317073171,74.8181463414634,74.9535365853659,75.0813902439024
