Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,18.4841619949147,19.5897650338511,21.0544833501823,22.7068146310082,24.3083769874092,25.6908403026683,26.7772569923108,27.623272983488,28.3544404619673,29.1615660325338,30.1778941886469,31.4480286738351,32.9122307998652,34.4750298685783,35.9952363446987,37.3739362190975,38.5742961737585,39.6372024630089,40.6346552093864,41.6740051465858,42.8303265631223,44.1276337959134
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,119.946788321168,119.225912408759,118.505072992701,117.784197080292,117.063357664234,116.342481751825,115.621642335766,114.900766423358,114.179927007299,113.459051094891,112.738211678832,111.685145985401,111.350729927007,110.934890510949,110.472226277372,109.908284671533,109.21704379562,108.394781021898,107.566204379562,106.843759124088,106.314635036496,106.013868613139
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,10.8795939103345,11.1491082150025,11.4122116603827,11.6662511441215,11.9081070981719,12.1357914801784,12.3488873680586,12.548690033337,12.7372761090631,12.9176782520342,13.09280526002,13.2635468187124,13.4315193933847,13.6013527924962,13.7786765138092,13.9678919613392,14.1700303139721,14.3852691729576,14.615809870095,14.8638348434338,15.1301817158884,15.4160957955108
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,235.22,241.895,247.985,253.625,259.035,264.37,269.63,274.71,279.495,283.84,287.61,290.88,293.645,295.585,296.31,295.585,293.24,289.52,285.155,281.13,278.18,276.58
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,ADO,115.98085106383,120.582978723404,125.327659574468,129.793617021277,133.41914893617,135.859574468085,136.789361702128,136.482978723404,135.931914893617,136.512765957447,139.146808510638,144.191489361702,151.16170212766,159.112765957447,166.674468085106,172.814893617021,177.389361702128,180.591489361702,182.16170212766,181.859574468085,179.614893617021,175.16170212766
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,8.92586027111575,9.20203176385658,9.50426806769872,9.82336247693912,10.1455707066656,10.4617518248175,10.7682786556509,11.0707211037138,11.3802117590439,11.7125074195877,12.0787984278495,12.483188417422,12.9218705382209,13.3884615384615,13.8730247854335,14.3682858747092,14.8724368332398,15.3877492580412,15.915818561001,16.4595355739151,17.0208983717013,17.600301596214
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,140.695454545455,141.845454545455,144.168181818182,147.427272727273,151.25,155.338636363636,159.647727272727,164.163636363636,168.65,172.820454545455,176.472727272727,179.481818181818,181.886363636364,183.872727272727,185.722727272727,187.647727272727,189.697727272727,191.811363636364,193.977272727273,196.136363636364,198.256818181818,200.345454545455
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,11.9596081397601,12.1292217971345,12.2977571445798,12.4642951887134,12.6277050012972,12.7872787929945,12.9425265558028,13.0939072383061,13.2428510353749,13.3913793670456,13.5409757773076,13.6922833788262,13.8449890195821,13.9984707803953,14.1516861610193,14.3039551428916,14.4549620161582,14.605199346656,14.7557304627123,14.9080242921193,15.063041484421,15.2211671764065
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,124.506322444679,123.354829645241,121.162521952933,118.358728486126,115.558236740429,113.212961011591,111.465577801194,110.209062170706,109.341693010186,108.669476642079,108.046996838778,107.48282402529,107.03368458026,106.653319283456,106.286687741482,105.898033017211,105.449982437654,104.956691253952,104.496979276431,104.183631893221,104.091886195996,104.249525816649
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,345.266666666667,359.016666666667,379.083333333333,402.766666666667,426.111111111111,446.255555555556,462.194444444444,474.705555555556,484.866666666667,494.466666666667,504.766666666667,516.077777777778,527.75,538.972222222222,548.566666666667,555.727777777778,560.166666666667,562.322222222222,563.011111111111,563.422222222222,564.427777777778,566.311111111111
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,2.22135298022728,2.24984705101337,2.2773127839319,2.29970191218776,2.32417375004881,2.35242049906929,2.38353097379691,2.41034585996381,2.43559871392682,2.46358512424664,2.49313356677037,2.52697759785481,2.55800997097223,2.58977129245148,2.61997058172683,2.65477786600367,2.69423219608711,2.71111516082423,2.76599455892116,2.82359449643987,2.86785858401781,2.90798641031983
