Year,Australia,Canada,China,Egypt,India,Japan,United States
1960,8.582936643,10.77084729,1.170381372,0.593007187,0.268161407,2.516537519,15.99977916
1961,8.641569017,10.62789765,0.836046901,0.614463121,0.284291728,2.981979388,15.68125552
1962,8.835688047,11.13062748,0.661428164,0.651081042,0.306519469,3.059736351,16.0139375
1963,9.226439909,11.1321024,0.640001899,0.735083038,0.322532993,3.359320776,16.48276215
1964,9.759073431,12.3053704,0.625646054,0.848084351,0.308900447,3.673035072,16.96811858
1965,10.62232139,12.81400147,0.665524211,0.895340981,0.33333065,3.912905535,17.45172525
1966,10.32809244,12.93491815,0.710891382,0.839007617,0.337853982,4.206264706,18.12107301
1967,10.9556248,13.8103546,0.574162147,0.606260151,0.331763432,4.863557846,18.59831788
1968,11.21016771,14.6326452,0.605451997,0.688797443,0.35328108,5.566593157,19.08938916
1969,11.60055435,14.61864861,0.725149509,0.578628942,0.351990681,6.338523165,19.85794566
1970,11.80289054,16.01414875,0.942934535,0.623025305,0.352279914,7.368088744,21.11125227
1971,11.80911757,16.29009027,1.042239697,0.648098721,0.3633376,7.545561028,20.98020348
1972,11.95163155,17.329425,1.080676637,0.702749457,0.375731112,7.961462468,21.74864198
1973,12.77968685,17.05995183,1.098195691,0.642299969,0.378031307,8.472958752,22.51058213
1974,12.55966873,17.12344306,1.097367111,0.690818689,0.3819147,8.313879441,21.50293038
1975,12.65989981,17.11161334,1.250124095,0.805185814,0.40566208,7.77267069,20.40222407
1976,12.41679178,16.97924845,1.285283136,0.873776732,0.414638121,8.059719431,21.15761537
1977,13.23189614,17.15211666,1.388842897,0.937781796,0.484985962,8.213496439,21.53248401
1978,14.06985862,17.30306507,1.52920111,0.951339179,0.477575976,7.866857247,21.97300469
1979,14.12909198,18.2093278,1.542675099,1.014795327,0.487174492,8.24734789,21.78043698
1980,15.02491601,18.02276896,1.495250749,1.043123042,0.499951925,8.114017015,20.78648774
1981,15.43250084,17.26921369,1.460431817,1.146465345,0.525284022,7.901592054,19.76676417
1982,15.42493181,16.45944925,1.566739684,1.239259047,0.545553419,7.599902312,18.59049523
1983,14.64008413,16.0546492,1.629055908,1.219716142,0.578452649,7.411085746,18.57154371
1984,15.2209753,16.55885484,1.75044806,1.328271941,0.584714088,7.833248279,18.97675027
1985,15.3084102,16.27010385,1.871054791,1.294974343,0.627124721,7.580675398,18.88231274
1986,14.98057315,15.45768406,1.939434257,1.469309199,0.657650963,7.53411367,18.72072272
1987,15.7469578,16.24667458,2.038410689,1.433869292,0.687149484,7.418518417,19.35033442
1988,15.79616778,16.95682428,2.150905225,1.39005973,0.726153879,8.066694192,20.01041341
1989,16.51986292,16.92078279,2.153077911,1.311529011,0.777433818,8.329948098,20.07576978
1990,15.46126211,15.65907038,2.167703077,1.346582307,0.793217741,8.857976193,19.32336817
1991,15.13390673,15.14925974,2.245901276,1.364466228,0.830433563,8.875684081,19.06223666
1992,15.32258937,15.44932016,2.31420729,1.379185401,0.864498223,9.039760563,19.14555576
1993,15.70601817,15.45655467,2.442800659,1.54980851,0.880821147,8.899017746,19.36346258
1994,15.58130994,15.6965288,2.565993892,1.392341946,0.917597877,9.394000584,19.37655644
1995,15.60098285,15.92722736,2.755754966,1.533179998,0.957509198,9.436899776,19.29565986
1996,16.5060059,16.15885457,2.844309582,1.604365105,1.023418661,9.585223137,19.52789051
1997,16.51664962,16.4937471,2.820567891,1.670958138,1.046223539,9.53044157,19.71427574
1998,16.94000743,16.74353274,2.67674598,1.854342271,1.054613051,9.167558022,19.6151546
1999,17.19223523,16.90086481,2.648649247,1.868390547,1.105715817,9.459557462,19.74781478
2000,17.20252441,17.37045161,2.696862433,2.068140433,1.126420999,9.613881066,20.20761476
2001,16.73506748,16.98502952,2.742120813,1.80246891,1.123105104,9.45490681,19.65619321
2002,17.3723178,16.55937785,2.885225041,1.793764997,1.125301008,9.547061619,19.63919577
2003,16.90619817,17.46386176,3.512245428,2.048004318,1.156575887,9.688100417,19.57623905
2004,17.03034133,17.26361022,4.080138906,2.050540499,1.197178135,9.856908399,19.68358135
2005,17.17438627,17.42608062,4.441150695,2.231160223,1.233151431,9.686111315,19.61027504
2006,17.29387382,16.89360819,4.892727098,2.341757815,1.294535658,9.62737359,19.11613882
2007,17.46700225,17.05189953,5.153564017,2.491357004,1.365786853,9.771475965,19.23746045
2008,17.70407968,16.36616459,5.311151855,2.491853031,1.497886363,9.4229613,18.48923375
2009,17.63183305,15.08909766,5.778143184,2.462249164,1.619048654,8.598621998,17.1923791
2010,16.71090435,14.58905354,6.172488876,2.494817067,1.584869945,9.127185047,17.48479218
2011,16.51920992,14.13581338,6.710301991,2.635115225,1.662873483,9.291834303,17.02021634
