Year,Australia,Canada,China,Egypt,India,Japan,United States
1960,70.81707317,71.13317073,43.46580488,48.01370732,41.17195122,67.66609756,69.77073171
1961,70.97317073,71.34609756,43.7807561,48.58158537,41.7904878,68.31,70.27073171
1962,70.94243902,71.36707317,44.71265854,49.1065122,42.41741463,68.59487805,70.1195122
1963,70.91170732,71.38073171,46.331,49.60195122,43.05273171,69.65804878,69.91707317
1964,70.88097561,71.77634146,48.58087805,50.07539024,43.69841463,70.13243902,70.16585366
1965,70.8502439,71.87219512,51.29143902,50.52039024,44.3535122,70.20195122,70.21463415
1966,70.8195122,72.00439024,54.20412195,50.9204878,45.0185122,70.98658537,70.21219512
1967,70.86926829,72.20780488,57.01239024,51.2682439,45.69092683,71.27658537,70.56097561
1968,70.91902439,72.35341463,59.46885366,51.56868293,46.3677561,71.61121951,69.95121951
1969,70.96878049,72.50146341,61.45117073,51.84178049,47.047,71.83878049,70.50731707
1970,71.01853659,72.7004878,62.9062439,52.1224878,47.72707317,71.9502439,70.80731707
1971,71.06829268,73.02926829,63.8722439,52.4552439,48.40741463,72.88292683,71.10731707
1972,71.45756098,72.93390244,64.52146341,52.86995122,49.08697561,73.50658537,71.15609756
1973,71.84682927,73.16268293,65.00329268,53.38307317,49.76029268,73.75756098,71.35609756
1974,72.23609756,73.23756098,65.37929268,53.99609756,50.42341463,74.39390244,71.95609756
1975,72.62536585,73.52170732,65.69958537,54.693,51.06792683,75.05731707,72.60487805
1976,73.01463415,73.85609756,65.99443902,55.44182927,51.68946341,75.45682927,72.85609756
1977,73.34439024,74.21560976,66.26404878,56.20063415,52.28463415,75.89829268,73.25609756
1978,73.67414634,74.5297561,66.51373171,56.93797561,52.84902439,76.03829268,73.35609756
1979,74.00390244,74.86634146,66.76229268,57.64136585,53.38070732,76.33756098,73.80487805
1980,74.33365854,75.07804878,67.02360976,58.31582927,53.87470732,76.09170732,73.65853659
1981,74.66341463,75.47853659,67.29765854,58.98043902,54.32853659,76.41439024,74.00731707
1982,74.90487805,75.6804878,67.57209756,59.65717073,54.74460976,76.92292683,74.36097561
1983,75.14634146,76.03634146,67.8365122,60.358,55.13234146,76.96146341,74.46341463
1984,75.38780488,76.31756098,68.09290244,61.07595122,55.49963415,77.36536585,74.56341463
1985,75.62926829,76.30341463,68.34129268,61.789,55.86090244,77.6504878,74.56341463
1986,75.87073171,76.44,68.58217073,62.46863415,56.2305122,78.06463415,74.61463415
1987,76.15170732,76.7395122,68.81553659,63.08982927,56.61843902,78.48365854,74.76585366
1988,76.43268293,76.80926829,69.04239024,63.64056098,57.03112195,78.39926829,74.76585366
1989,76.71365854,77.06560976,69.2622439,64.12080488,57.47304878,78.81804878,75.01707317
1990,76.99463415,77.37707317,69.47156098,64.54907317,57.94373171,78.83682927,75.21463415
1991,77.27560976,77.55341463,69.66131707,64.95534146,58.43821951,79.10073171,75.36585366
1992,77.37804878,77.32073171,69.832,65.36963415,58.94507317,79.15390244,75.64219512
1993,77.87804878,77.68512195,69.99065854,65.80995122,59.45292683,79.29365854,75.4195122
1994,77.87804878,77.86195122,70.14782927,66.27829268,59.95482927,79.68707317,75.57439024
1995,77.82926829,77.97756098,70.32917073,66.76068293,60.44436585,79.53634146,75.62195122
1996,78.07804878,78.2304878,70.56282927,67.23209756,60.91560976,80.2002439,75.99658537
1997,78.4804878,78.4804878,70.86390244,67.66407317,61.36956098,80.42414634,76.42926829
1998,78.63170732,78.66243902,71.23487805,68.03658537,61.80721951,80.50146341,76.5804878
1999,78.93170732,78.88292683,71.66870732,68.34514634,62.22707317,80.57073171,76.58292683
2000,79.23414634,79.23658537,72.14073171,68.5907561,62.63063415,81.07609756,76.63658537
2001,79.63414634,79.48780488,72.61978049,68.78643902,63.01985366,81.41707317,76.73658537
2002,79.93658537,79.5902439,73.06960976,68.95265854,63.39919512,81.56341463,76.83658537
2003,80.23902439,79.83902439,73.46509756,69.10943902,63.77453659,81.76,76.98780488
2004,80.4902439,80.14146341,73.79370732,69.26578049,64.14780488,82.0302439,77.33902439
2005,80.84146341,80.29268293,74.05390244,69.42968293,64.52387805,81.92512195,77.33902439
2006,81.04146341,80.64390244,74.25631707,69.60319512,64.90809756,82.32195122,77.58780488
2007,81.29268293,80.36987805,74.42407317,69.78229268,65.30043902,82.50707317,77.83902439
2008,81.39512195,80.54321951,74.57982927,69.96446341,65.69943902,82.58756098,77.93902439
2009,81.54390244,80.71709756,74.73163415,70.15014634,66.10263415,82.93146341,78.0902439
2010,81.69512195,80.8934878,74.88502439,70.34029268,66.50614634,82.84268293,78.54146341
2011,81.89512195,81.06831707,75.042,70.53331707,66.90417073,82.59121951,78.64146341
